TARGETID,EXPID,MJD,NIGHT,FIBER,SURVEY,PROGRAM,VRAD,VRAD_ERR,VRAD_SKEW,VRAD_KURT,SN_R,RVS_WARN,SUCCESS,FIBERSTATUS,TEFF,LOGG,FEH,TRUE_KIND
100000,900000,59280.751477,20200101,463,SYNTHETIC,BRIGHT,-63.61124475,1.70960008,-0.096788,3.121483,34.6224,0,True,0,4791.55,3.382,-0.687,stable
100000,900001,59683.570949,20200102,4743,SYNTHETIC,BRIGHT,-63.65239944,2.9875466,-0.000753,3.145378,9.1998,0,True,0,4791.55,3.382,-0.687,stable
100000,900002,60145.178123,20200103,4075,SYNTHETIC,BRIGHT,-61.34715436,1.47541159,-0.118866,2.959089,50.5309,0,True,0,4791.55,3.382,-0.687,stable
100000,900003,60229.01177,20200104,550,SYNTHETIC,BRIGHT,-61.75911939,1.40558643,0.132657,3.333144,57.4371,0,True,0,4791.55,3.382,-0.687,stable
100001,900004,59476.712973,20200101,176,SYNTHETIC,BRIGHT,-14.7570737,1.5362082,0.062252,3.156631,45.4839,0,True,0,3896.8,4.585,-1.137,stable
100001,900005,59565.589943,20200102,4065,SYNTHETIC,BRIGHT,-14.74428383,1.63231781,0.109594,3.276957,38.9214,0,True,0,3896.8,4.585,-1.137,stable
100001,900006,59845.26019,20200103,1722,SYNTHETIC,BRIGHT,-14.06367284,1.85043439,-0.057614,2.805195,28.428,0,True,0,3896.8,4.585,-1.137,stable
100001,900007,60025.032215,20200104,3982,SYNTHETIC,BRIGHT,-14.22648069,1.65615807,0.083199,2.84389,37.5136,0,True,0,3896.8,4.585,-1.137,stable
100002,900008,59782.012126,20200101,2064,SYNTHETIC,BRIGHT,-54.5759838,2.99787063,0.055564,3.091993,9.1282,0,True,0,4152.53,3.978,-1.227,stable
100002,900009,59812.947161,20200102,3031,SYNTHETIC,BRIGHT,-54.4642475,1.66087104,-0.100494,3.144831,37.2443,0,True,0,4152.53,3.978,-1.227,stable
100002,900010,59900.338921,20200103,2112,SYNTHETIC,BRIGHT,-53.89386015,1.86636037,-0.028766,3.100957,27.834,0,True,0,4152.53,3.978,-1.227,stable
100002,900011,60024.043154,20200104,2403,SYNTHETIC,BRIGHT,-52.96105625,1.24559361,-0.10803,2.932143,79.7918,0,True,0,4152.53,3.978,-1.227,stable
100002,900012,60240.79205,20200105,618,SYNTHETIC,BRIGHT,-54.20126231,2.23665769,0.101791,3.057594,17.9802,0,True,0,4152.53,3.978,-1.227,stable
100003,900013,59606.280287,20200101,2584,SYNTHETIC,BRIGHT,11.87936107,1.2647931,-0.124506,3.022262,76.4776,0,True,0,5532.89,3.774,0.255,stable
100003,900014,59815.633412,20200102,1466,SYNTHETIC,BRIGHT,12.74064006,1.90078143,-0.149216,2.969886,26.6121,0,True,0,5532.89,3.774,0.255,stable
100004,900015,59213.549723,20200101,1616,SYNTHETIC,BRIGHT,-90.222141,2.22875285,0.083788,3.100965,18.1318,0,True,0,6391.31,4.809,-1.529,stable
100004,900016,59725.599361,20200102,98,SYNTHETIC,BRIGHT,-90.21445292,2.3702006,-0.063161,2.758428,15.6816,0,True,0,6391.31,4.809,-1.529,stable
100004,900017,59748.083419,20200103,42,SYNTHETIC,BRIGHT,-91.39721854,1.43052687,0.027187,3.182997,54.8162,0,True,0,6391.31,4.809,-1.529,stable
100005,900018,59016.518054,20200101,4338,SYNTHETIC,BRIGHT,-40.64394052,1.40486971,-0.066695,2.946449,57.5152,0,True,0,4845.72,4.289,-0.789,stable
100005,900019,59140.057962,20200102,4880,SYNTHETIC,BRIGHT,-40.45391825,1.90122073,0.004709,3.169875,26.597,0,True,0,4845.72,4.289,-0.789,stable
100005,900020,59756.862149,20200103,2773,SYNTHETIC,BRIGHT,-41.69773786,1.30137108,0.059728,3.07298,70.7099,0,True,0,4845.72,4.289,-0.789,stable
100005,900021,59866.807036,20200104,3387,SYNTHETIC,BRIGHT,-39.32967806,1.34514051,-0.051638,2.970657,64.6266,0,True,0,4845.72,4.289,-0.789,stable
100005,900022,59905.711522,20200105,1683,SYNTHETIC,BRIGHT,-40.40993593,1.58921803,-0.172626,2.98968,41.6759,0,True,0,4845.72,4.289,-0.789,stable
100006,900023,59263.762029,20200101,4937,SYNTHETIC,BRIGHT,-100.40007588,2.88611785,0.003149,3.048641,9.9504,0,True,0,5082.94,3.049,-0.45,stable
100006,900024,59690.363762,20200102,4121,SYNTHETIC,BRIGHT,-108.1336139,1.29262858,-0.010479,2.976405,72.0276,0,True,0,5082.94,3.049,-0.45,stable
