PROGRAM_P,PROGRAM_Q,DIRECTION,LAG_DAYS,R,N,IS_PRIMARY_LAG
BRIGHT,DARK,P_A_Q_B,0,0.046190877937234726,123,True
BRIGHT,DARK,P_A_Q_B,-1,-0.0396778231346317,117,False
BRIGHT,DARK,P_A_Q_B,1,-0.02047650764834685,111,False
BRIGHT,DARK,P_A_Q_B,-2,-0.045276379155856375,112,False
BRIGHT,DARK,P_A_Q_B,2,-0.10527318221933851,108,False
BRIGHT,DARK,P_A_Q_B,-3,-0.12732082022675797,113,False
BRIGHT,DARK,P_A_Q_B,3,-0.13461692630188368,97,False
BRIGHT,DARK,P_A_Q_B,-4,-0.07593350687213772,112,False
BRIGHT,DARK,P_A_Q_B,4,-0.07957028911240797,101,False
BRIGHT,DARK,P_A_Q_B,-5,-0.03493514000458468,112,False
BRIGHT,DARK,P_A_Q_B,5,-0.05242706841742897,100,False
BRIGHT,DARK,P_A_Q_B,-6,-0.0335251563353758,113,False
BRIGHT,DARK,P_A_Q_B,6,-0.08499051583604844,102,False
BRIGHT,DARK,P_A_Q_B,-7,-0.01804558444951338,113,False
BRIGHT,DARK,P_A_Q_B,7,0.003822191226257248,104,False
BRIGHT,DARK,P_A_Q_B,-8,0.031020163123895054,107,False
BRIGHT,DARK,P_A_Q_B,8,-0.16533888293135965,100,False
BRIGHT,DARK,P_A_Q_B,-9,0.01908407554811465,102,False
BRIGHT,DARK,P_A_Q_B,9,-0.07445540126156718,101,False
BRIGHT,DARK,P_A_Q_B,-10,0.0133616761713031,104,False
BRIGHT,DARK,P_A_Q_B,10,-0.1254797451834277,103,False
BRIGHT,DARK,P_A_Q_B,-11,-0.04123651440527228,96,False
BRIGHT,DARK,P_A_Q_B,11,-0.07724367803331056,99,False
BRIGHT,DARK,P_A_Q_B,-12,-0.1200876989923827,98,False
BRIGHT,DARK,P_A_Q_B,12,-0.23678195280214448,101,False
BRIGHT,DARK,P_A_Q_B,-13,-0.16515225357868177,104,False
BRIGHT,DARK,P_A_Q_B,13,-0.17192751726460367,100,False
BRIGHT,DARK,P_A_Q_B,-14,-0.23155014508672944,103,False
BRIGHT,DARK,P_A_Q_B,14,-0.2390067703346317,97,False
BRIGHT,DARK,P_A_Q_B,-15,-0.23073864692866775,97,False
BRIGHT,DARK,P_A_Q_B,15,-0.1743519103483173,103,False
BRIGHT,DARK,P_A_Q_B,-16,-0.22394154171011468,95,False
BRIGHT,DARK,P_A_Q_B,16,-0.1524732949376801,106,False
BRIGHT,DARK,P_A_Q_B,-17,-0.2850672325571913,98,False
BRIGHT,DARK,P_A_Q_B,17,-0.15694922504385445,103,False
BRIGHT,DARK,P_A_Q_B,-18,-0.1769656042471309,98,False
BRIGHT,DARK,P_A_Q_B,18,-0.10222231037460058,105,False
BRIGHT,DARK,P_A_Q_B,-19,-0.18462499869472881,92,False
BRIGHT,DARK,P_A_Q_B,19,-0.1434780937988956,103,False
BRIGHT,DARK,P_A_Q_B,-20,-0.13098227337747967,99,False
BRIGHT,DARK,P_A_Q_B,20,0.058585033098297885,103,False
BRIGHT,DARK,P_A_Q_B,-21,-0.19734708908360396,95,False
BRIGHT,DARK,P_A_Q_B,21,0.1093973218897888,97,False
BRIGHT,DARK,P_A_Q_B,-22,-0.005340262790567269,92,False
BRIGHT,DARK,P_A_Q_B,22,0.07954809253726187,102,False
BRIGHT,DARK,P_A_Q_B,-23,-0.06404562065556073,89,False
BRIGHT,DARK,P_A_Q_B,23,0.02762782069214664,98,False
BRIGHT,DARK,P_A_Q_B,-24,-0.10201851661597526,91,False
BRIGHT,DARK,P_A_Q_B,24,0.028506611731093364,93,False
BRIGHT,DARK,P_A_Q_B,-25,-0.02603013446944985,92,False
BRIGHT,DARK,P_A_Q_B,25,0.03554157593578815,95,False
BRIGHT,DARK,P_A_Q_B,-26,-0.15704048653743932,87,False
BRIGHT,DARK,P_A_Q_B,26,0.025012265784229132,91,False
BRIGHT,DARK,P_A_Q_B,-27,0.0012572806698780362,90,False
BRIGHT,DARK,P_A_Q_B,27,-0.04387970184000533,93,False
BRIGHT,DARK,P_A_Q_B,-28,-0.10111399490960618,96,False
BRIGHT,DARK,P_A_Q_B,28,0.07580570215347214,90,False
BRIGHT,DARK,P_A_Q_B,-29,-0.12387509546479099,91,False
BRIGHT,DARK,P_A_Q_B,29,0.012912525818647026,88,False
BRIGHT,DARK,P_A_Q_B,-30,-0.10842517454781629,92,False
BRIGHT,DARK,P_A_Q_B,30,-0.014784352522132175,86,False
BRIGHT,DARK,P_B_Q_A,0,-0.026464263135193115,122,True
BRIGHT,DARK,P_B_Q_A,-1,-0.009848310136480245,115,False
BRIGHT,DARK,P_B_Q_A,1,0.01877781157184652,110,False
BRIGHT,DARK,P_B_Q_A,-2,-0.11667050264182886,111,False
BRIGHT,DARK,P_B_Q_A,2,-0.1598588354390502,107,False
BRIGHT,DARK,P_B_Q_A,-3,-0.11248539309292568,110,False
BRIGHT,DARK,P_B_Q_A,3,-0.12338218071756402,96,False
BRIGHT,DARK,P_B_Q_A,-4,-0.13447600785329106,111,False
BRIGHT,DARK,P_B_Q_A,4,-0.011769189801125025,102,False
BRIGHT,DARK,P_B_Q_A,-5,-0.10462745521373741,111,False
BRIGHT,DARK,P_B_Q_A,5,-0.0606976769227124,99,False
BRIGHT,DARK,P_B_Q_A,-6,-0.03905784262527771,110,False
BRIGHT,DARK,P_B_Q_A,6,-0.117612744276899,98,False
BRIGHT,DARK,P_B_Q_A,-7,-0.021843660834285,113,False
BRIGHT,DARK,P_B_Q_A,7,-0.0874675205143499,101,False
BRIGHT,DARK,P_B_Q_A,-8,0.06980468920975241,108,False
BRIGHT,DARK,P_B_Q_A,8,-0.1203007688897741,98,False
BRIGHT,DARK,P_B_Q_A,-9,-0.021153072046816046,102,False
BRIGHT,DARK,P_B_Q_A,9,-0.11779523061076577,99,False
BRIGHT,DARK,P_B_Q_A,-10,0.12554292612779494,101,False
BRIGHT,DARK,P_B_Q_A,10,-0.15112321574186424,101,False
BRIGHT,DARK,P_B_Q_A,-11,-0.08335084255108893,96,False
BRIGHT,DARK,P_B_Q_A,11,-0.1133197218185293,98,False
BRIGHT,DARK,P_B_Q_A,-12,-0.06923950946168658,98,False
BRIGHT,DARK,P_B_Q_A,12,-0.19953566765484823,99,False
BRIGHT,DARK,P_B_Q_A,-13,-0.1782375084727787,102,False
BRIGHT,DARK,P_B_Q_A,13,-0.27439757551920174,99,False
BRIGHT,DARK,P_B_Q_A,-14,-0.21787858399876225,100,False
BRIGHT,DARK,P_B_Q_A,14,-0.26307863605104703,96,False
BRIGHT,DARK,P_B_Q_A,-15,-0.17833452662145108,96,False
BRIGHT,DARK,P_B_Q_A,15,-0.14862994021586673,103,False
BRIGHT,DARK,P_B_Q_A,-16,-0.19437146660697882,93,False
BRIGHT,DARK,P_B_Q_A,16,-0.11843842409336727,107,False
BRIGHT,DARK,P_B_Q_A,-17,-0.2116767013713322,94,False
BRIGHT,DARK,P_B_Q_A,17,-0.12287577050884635,104,False
BRIGHT,DARK,P_B_Q_A,-18,-0.19563467665238427,96,False
BRIGHT,DARK,P_B_Q_A,18,-0.10220880900874812,106,False
BRIGHT,DARK,P_B_Q_A,-19,-0.16480423612352177,87,False
BRIGHT,DARK,P_B_Q_A,19,-0.13857363911393594,103,False
BRIGHT,DARK,P_B_Q_A,-20,-0.16641171589410814,94,False
BRIGHT,DARK,P_B_Q_A,20,0.02934524101802442,104,False
BRIGHT,DARK,P_B_Q_A,-21,-0.1746083166807476,93,False
BRIGHT,DARK,P_B_Q_A,21,0.17013676406891473,98,False
BRIGHT,DARK,P_B_Q_A,-22,-0.03283573206963109,88,False
BRIGHT,DARK,P_B_Q_A,22,0.06536140045312688,103,False
BRIGHT,DARK,P_B_Q_A,-23,-0.03995123130457174,85,False
BRIGHT,DARK,P_B_Q_A,23,0.016966267369880245,100,False
BRIGHT,DARK,P_B_Q_A,-24,-0.07997276816944589,88,False
BRIGHT,DARK,P_B_Q_A,24,0.05497048925807174,95,False
BRIGHT,DARK,P_B_Q_A,-25,0.007996932695137925,90,False
BRIGHT,DARK,P_B_Q_A,25,-0.0060465578587013845,96,False
