FOLD,PROGRAM_PAIR,N_COMMON_SUPPORT,RAW_WIDTH_UNCORRECTED_KMS,RAW_WIDTH_PROGRAM_NIGHT_KMS,RAW_WIDTH_PROGRAM_NIGHT_PETAL_KMS,PROGRAM_NIGHT_GAIN_KMS,INCREMENTAL_PETAL_GAIN_KMS
0,BACKUP / BACKUP,199736,3.6702316092630047,2.934879655762502,2.8628260905832974,0.7353519535005026,0.07205356517920469
0,BACKUP / BRIGHT,44273,3.7375487531393814,3.620352102689215,3.604078743304714,0.11719665045016647,0.016273359384500807
0,BACKUP / DARK,5528,5.704409143950725,5.573731915315328,5.539829501183231,0.1306772286353972,0.033902414132096936
0,BRIGHT / BRIGHT,49426,2.9058552637298583,2.770244117140288,2.7199529943218126,0.1356111465895702,0.050291122818475475
0,BRIGHT / DARK,21975,4.439428522561498,4.188540877877359,4.1666152952624,0.2508876446841386,0.02192558261495936
0,DARK / DARK,21577,3.512050785234523,3.4563556105764968,3.424337196454407,0.055695174658026314,0.03201841412208983
1,BACKUP / BACKUP,198164,3.6633570711249313,2.947544128749496,2.8762116511146454,0.7158129423754351,0.07133247763485073
1,BACKUP / BRIGHT,43537,3.7094656240693267,3.610290347985357,3.604174541604162,0.0991752760839697,0.006115806381195021
1,BACKUP / DARK,5464,5.656143777655857,5.557483354650918,5.52571150625821,0.09866042300493927,0.03177184839270808
1,BRIGHT / BRIGHT,49215,2.9172046675931345,2.7960853035088546,2.748032560028219,0.12111936408427981,0.048052743480635485
1,BRIGHT / DARK,22402,4.4156996617751485,4.194213922231705,4.201982169624827,0.22148573954344375,-0.007768247393122429
1,DARK / DARK,21797,3.50346199031814,3.4190597215146843,3.374776049663465,0.0844022688034558,0.044283671851219175
2,BACKUP / BACKUP,198859,3.6696973676148326,2.9494599311815506,2.883029741324304,0.720237436433282,0.0664301898572468
2,BACKUP / BRIGHT,43462,3.729089659667851,3.6116912748908696,3.5914771906068728,0.1173983847769815,0.020214084283996847
2,BACKUP / DARK,5615,5.445222473203439,5.368036291165663,5.377575044462473,0.07718618203777616,-0.009538753296809865
2,BRIGHT / BRIGHT,48823,2.874928895241674,2.7532639052741645,2.706710005993237,0.1216649899675093,0.04655389928092735
2,BRIGHT / DARK,22181,4.3613597874125665,4.160835491085772,4.125023483477216,0.2005242963267948,0.03581200760855552
2,DARK / DARK,21746,3.4859527962316923,3.4476720697651313,3.378687672573803,0.038280726466561,0.0689843971913282
3,BACKUP / BACKUP,200483,3.667026520937815,2.943855399003378,2.870538514253135,0.723171121934437,0.073316884750243
3,BACKUP / BRIGHT,43462,3.686136996697873,3.5757347124389463,3.5679366524947436,0.11040228425892673,0.007798059944202684
3,BACKUP / DARK,5346,5.552858267547908,5.369149412833796,5.420630643927996,0.18370885471411214,-0.05148123109420055
3,BRIGHT / BRIGHT,48783,2.930744309463624,2.797942637850625,2.7450477699164146,0.13280167161299872,0.0528948679342105
3,BRIGHT / DARK,22336,4.4378029043049505,4.227983179353224,4.187827552107573,0.20981972495172663,0.04015562724565047
3,DARK / DARK,22077,3.497762210921898,3.430202919178076,3.419840948657381,0.06755929174382214,0.010361970520694985
4,BACKUP / BACKUP,198770,3.64395181146942,2.938103930686875,2.866303323433644,0.705847880782545,0.0718006072532309
4,BACKUP / BRIGHT,43725,3.725841636724697,3.6101298746402866,3.595811502091096,0.11571176208441036,0.014318372549190439
4,BACKUP / DARK,5163,5.582815470559436,5.4777965456046225,5.503166531695284,0.10501892495481346,-0.0253699860906611
4,BRIGHT / BRIGHT,49355,2.8786167842454375,2.7525772678662848,2.708998631434891,0.12603951637915278,0.043578636431393925
4,BRIGHT / DARK,22103,4.294721092283249,4.054405275610591,4.059531863267165,0.24031581667265733,-0.005126587656573811
4,DARK / DARK,21873,3.460864311367811,3.4025375364065145,3.38036686352784,0.05832677496129657,0.02217067287867458
