PROGRAM,HALF,PETAL,N_NIGHTS,MEDIAN_OFFSET_KMS,MEAN_OFFSET_KMS,STD_OFFSET_KMS,COMPONENT
BRIGHT,A,0,159,-0.023207926760999406,-0.008122083218286306,0.3669407820085271,0
BRIGHT,A,1,154,-0.10731779155716287,-0.13598828173326358,0.4312264844418534,0
BRIGHT,A,2,161,0.29378905034602026,0.30796979518211837,0.4075920189524795,0
BRIGHT,A,3,147,0.34374393213816823,0.31035182467377215,0.3841521486596868,0
BRIGHT,A,4,144,0.33176957831841514,0.27622253561839716,0.37484105474828444,0
BRIGHT,A,5,149,0.04337059391295728,0.034484903683247914,0.39724414726510354,0
BRIGHT,A,6,144,-0.17597800903685423,-0.17676922177887772,0.3780863957096785,0
BRIGHT,A,7,148,-0.26250032309261506,-0.2739282162567428,0.4012984838440015,0
BRIGHT,A,8,164,0.06490142982389664,0.0784182517969692,0.352528742740999,0
BRIGHT,A,9,160,-0.4291698919197493,-0.40468746101959513,0.3732328966296455,0
BRIGHT,B,0,159,0.07889359294741109,0.09393837934729617,0.36755271461877886,0
BRIGHT,B,1,151,-0.11785408991423252,-0.11689830426112129,0.38545650179546975,0
BRIGHT,B,2,159,0.2981229745558538,0.2870073613229045,0.38100105446772276,0
BRIGHT,B,3,150,0.32643519454355985,0.28198949294968423,0.4009687946417392,0
BRIGHT,B,4,148,0.283145972175465,0.256377397152746,0.4429951490727185,0
BRIGHT,B,5,153,0.009094610253369856,0.017936625567850643,0.3848130564472925,0
BRIGHT,B,6,151,-0.28029169068037696,-0.23915907687159682,0.427863314199139,0
BRIGHT,B,7,147,-0.30248228668250626,-0.29167569220909817,0.4287603266485921,0
BRIGHT,B,8,159,0.10645204048176646,0.1056330093497086,0.3743877413395969,0
BRIGHT,B,9,155,-0.4250770019657884,-0.4126921726354786,0.36675063574667666,0
DARK,A,0,97,0.002943485775874194,0.009533968631127482,0.37965343363252113,0
DARK,A,1,94,-0.07095147705442761,-0.0553531956284383,0.33849645338811735,0
DARK,A,2,102,0.32269344182092186,0.30189725292277125,0.3404768892565459,0
DARK,A,3,93,0.31186317436658195,0.34707967224285197,0.38824401194177904,0
DARK,A,4,89,0.05932195014443156,0.08632497044396277,0.36347580211466907,0
DARK,A,5,91,-0.21647294569924524,-0.1791973164207035,0.4196937125594603,0
DARK,A,6,99,-0.024414881773122343,-0.03959281912014971,0.38422405182187713,0
DARK,A,7,93,-0.4562322457695138,-0.4010526270620715,0.34040506114997054,0
DARK,A,8,102,0.3008046473750817,0.27091671309926324,0.4049978445539176,0
DARK,A,9,97,-0.3760137038118528,-0.37716919367567114,0.4335502452977073,0
DARK,B,0,100,-0.02889193764167374,0.0048093407110908586,0.3712763283204004,0
DARK,B,1,96,0.0,0.011886973861047,0.3553720356134656,0
DARK,B,2,97,0.23329781569562805,0.24781513265224253,0.4442799651700912,0
DARK,B,3,100,0.41439251957527246,0.3942102299194085,0.41001444035931145,0
DARK,B,4,97,0.055489080721859624,0.06929937875391802,0.393741352658236,0
DARK,B,5,101,-0.04616633792703195,-0.08453687522290486,0.378319620424408,0
DARK,B,6,108,-0.05981637976735629,-0.0942718704161167,0.44369908370121647,0
DARK,B,7,90,-0.4540228542674607,-0.43276943430498016,0.38996914517833087,0
DARK,B,8,103,0.22252354291948503,0.23326830461834547,0.43005216787562106,0
DARK,B,9,101,-0.39049116865055433,-0.3778318222365879,0.38625373271572244,0
