PERMUTATION,MEAN_INCREMENTAL_GAIN_KMS,MIN_FOLD_GAIN_KMS,MAX_FOLD_GAIN_KMS,N_POSITIVE_FOLDS,MEAN_COMMON_SUPPORT,ELAPSED_SECONDS
0,-0.0081316993294808,-0.0101698452232312,-0.0067691972512848,0,341643.8,76.30856510000012
1,-0.0066343340586572,-0.0075502709958792,-0.0049344823422701,0,341621.0,112.28521539999927
2,-0.0081367449849169,-0.0112396239260235,-0.0024425556067422,0,341581.4,101.60299110000052
3,-0.006803644596435,-0.0088724177283774,-0.005019611672858,0,341495.4,110.88940110000112
4,-0.0073005240238424,-0.0097733609844969,-0.0054561948785738,0,341629.4,118.31468160000075
5,-0.0053857761507892,-0.0069008305823219,-0.0036754954836277,0,341595.8,109.685435899999
6,-0.0061835356856439,-0.0074869867141873,-0.0037870522427927,0,341592.8,111.15075429999706
7,-0.0083618653318776,-0.0110280695850164,-0.0067565984444852,0,341650.0,102.59871749999728
8,-0.0047755504457406,-0.0061230699373027,-0.0028170952136177,0,341530.0,109.20064100000307
9,-0.0070254440972703,-0.0096881001632747,-0.0054795109091174,0,341617.8,117.57075839999744
10,-0.0083567281337679,-0.012512668472965,-0.0045198882690455,0,341618.0,110.78384129999904
11,-0.0067885927742526,-0.0084520823385503,-0.0042907784443326,0,341575.8,111.94487749999826
12,-0.007194774053056,-0.0082503934593183,-0.0064119909774151,0,341589.6,102.38934909999809
13,-0.0058564965812343,-0.0086085616455737,-0.0039667592445313,0,341641.2,110.40530270000454
14,-0.0074283167235289,-0.0103116687523496,-0.0045752972005694,0,341569.6,118.23846940000658
15,-0.0063194426034338,-0.0091467150367687,-0.0052863204602036,0,341640.8,111.33100350000312
16,-0.0067344807418083,-0.0092394396690353,-0.0045378170705658,0,341615.2,103.35093719999712
17,-0.006471097378863,-0.0071851234064235,-0.0061567193549154,0,341628.6,109.89328000000388
18,-0.0072264463475661,-0.0104627438003017,-0.0041460124558989,0,341647.0,119.2044550999999
19,-0.0075312149137164,-0.0106045217297485,-0.0043916697071444,0,341570.6,225.21703929999785
20,-0.0072515250485493,-0.0100982196124634,-0.0051716936627315,0,341656.2,221.39793510000163
21,-0.008088817115209,-0.016382179864598,-0.0034862033186167,0,341596.0,216.9069681999972
22,-0.0070224402143451,-0.008086876883155,-0.0049976732019283,0,341580.6,215.6914050999985
23,-0.006309280120999,-0.0097053321762454,-0.003968697577608,0,341583.2,206.7123473999964
24,-0.0063874833530204,-0.0103634544593402,-0.0039767507228316,0,341517.2,214.61982169999828
25,-0.006541591770452,-0.0087590447299747,-0.003501392741795,0,341553.4,215.4678451
26,-0.0078000375764362,-0.0101152062219274,-0.0062039139411607,0,341577.2,211.4790909999938
27,-0.0069778298944626,-0.0088029570271408,-0.004765071137637,0,341560.0,228.285240600002
28,-0.0071503035340885,-0.0103714765361782,-0.0025662183030799,0,341593.2,222.25611460000076
29,-0.007556011343973,-0.011144086383672,-0.0043931907383769,0,341582.4,216.9220819999973
30,-0.005905950237918,-0.0084061636017529,-0.0037831115759363,0,341633.4,217.6059666000001
31,-0.0065871175629624,-0.0085509119345084,-0.0041487987993065,0,341548.0,206.4821355000022
32,-0.0066656851205629,-0.009498109864455,-0.0042002833109759,0,341601.4,213.9406622999959
33,-0.0076063835789329,-0.0088599319739901,-0.0057042956767241,0,341589.6,215.471240699997
34,-0.0073102744708204,-0.0101560970425,-0.0044966678121909,0,341551.2,211.08244479999848
35,-0.0058168556096407,-0.0073398704875105,-0.0042753503930921,0,341527.2,227.1182442999998
36,-0.0078718338517032,-0.0089515880045176,-0.0057577408682769,0,341564.8,220.01461869999912
37,-0.0081890325476229,-0.0116316983164557,-0.0044780592378561,0,341705.4,215.35472530000695
38,-0.0054521679828044,-0.0074571512217413,-0.0029732484651683,0,341560.4,218.05680539999597
39,-0.0070647173607635,-0.0084077643348932,-0.0046972192895786,0,341588.4,207.6661158999996
40,-0.0078371672905294,-0.011648591953719,-0.0058086623164888,0,341627.0,213.26416710000197
41,-0.007152754871377,-0.0099134144192061,-0.0048038774063763,0,341510.2,217.88793089999672
42,-0.0079253619535919,-0.0105043679369316,-0.0051532247377648,0,341658.0,212.08068819999608
43,-0.0077256155593968,-0.0095399169807608,-0.0061664262215614,0,341611.0,225.68006950000563
44,-0.0067133524460367,-0.0099045391828891,-0.0023915391214961,0,341558.2,220.35748919999605
45,-0.0075482065625534,-0.0086229844658416,-0.0059448375449004,0,341610.0,216.7739722999977
46,-0.006930757018578,-0.010833779284975,-0.0046379896100341,0,341606.8,216.8182858
47,-0.0063211527771243,-0.0082330602415994,-0.0044390174615362,0,341586.2,205.8545230000018
48,-0.0070459815411257,-0.0105351615464801,-0.0030855222124865,0,341616.2,213.60492540000268
49,-0.0060596528389164,-0.0089520799593869,-0.0040913288775521,0,341643.6,215.3992409999992
50,-0.0058087141077885,-0.0089930288475708,-0.0034685720098712,0,341602.4,212.35211320000235
51,-0.0070541176338481,-0.0082842713700035,-0.0054174245464659,0,341581.6,227.5866515000016
52,-0.0078677993299001,-0.0112506106047871,-0.0042147181154637,0,341683.0,220.299431499996
53,-0.0067257313660356,-0.0081632891906524,-0.0046501783590402,0,341574.8,217.98668769999492
54,-0.0077148303957105,-0.0084937102542941,-0.006933746564302,0,341573.6,214.5176547999945
55,-0.0070106763163445,-0.0083175164178559,-0.0047334514901731,0,341643.2,204.0488245000015
56,-0.0067104410543318,-0.0099634002184583,-0.0047635002423849,0,341627.4,214.1049541000029
57,-0.0071146473589571,-0.0107030934840959,-0.0048403600960846,0,341552.4,216.88948769999843
58,-0.0066350234939385,-0.0093913412879498,-0.0032077891745903,0,341566.2,213.73296129999653
59,-0.005512653141915,-0.0083151628948705,-0.0040429158773744,0,341469.6,227.34081080000036
60,-0.0075775027200047,-0.0115980476944881,-0.0050116635701114,0,341587.6,221.50725729999976
61,-0.0067192036315757,-0.0085239253021511,-0.0045416831138052,0,341602.8,218.71831860000384
62,-0.0070858755201405,-0.010187944716828,-0.0040181929413356,0,341468.8,215.53166090000013
63,-0.0069932471552764,-0.0081759730505681,-0.0060287377814391,0,341592.2,205.73804669999663
64,-0.0078436999763143,-0.0085940327032458,-0.0071223176572678,0,341589.4,212.11845899999756
65,-0.0078225061197291,-0.0089356760044241,-0.0062863605323708,0,341512.0,214.621945299994
66,-0.0063170732147153,-0.0085722580469682,-0.0036448204923975,0,341667.4,212.9629610999982
67,-0.0076048224810945,-0.0095580529942558,-0.0060483796651573,0,341652.6,228.7188688000024
68,-0.0070299112669446,-0.0116611798061398,-0.0035506306132786,0,341597.8,221.69935239999904
69,-0.008416309183162,-0.011081991397333,-0.0046220198859994,0,341591.4,218.90085530000212
70,-0.0064589098837235,-0.0092818785790633,-0.0010064878077238,0,341622.6,215.78887969999775
71,-0.0073890756130989,-0.0098813623149078,-0.0057007803293283,0,341571.2,205.6820707999941
72,-0.0076733577850315,-0.0092768879704809,-0.0057346435430636,0,341608.2,211.6092731999961
73,-0.0064141884768813,-0.0087392918723967,-0.0035552658549091,0,341533.6,216.13448059999791
74,-0.0069082699573687,-0.0092027099917393,-0.0048959377077815,0,341589.2,212.65249989999572
75,-0.0078093292799742,-0.0108558486298662,-0.0055874606634911,0,341598.0,225.49017949999688
76,-0.0067970488333229,-0.0079904802160957,-0.004392117574357,0,341596.8,220.09035749999748
