HALF,PROGRAM,NIGHT,OFFSET_KMS,COMPONENT,N_LABELS_FIT,N_TRAIN_PAIRS,N_CONNECTED_COMPONENTS
A,BACKUP,20211125,3.6297719271346467,0,77,479839,5
A,BACKUP,20211206,3.2868233187926856,0,77,479839,5
A,BACKUP,20211207,3.03475550882091,0,77,479839,5
A,BACKUP,20211216,7.4532243171736505,0,77,479839,5
A,BACKUP,20211217,4.400647681436368,0,77,479839,5
A,BACKUP,20211218,3.792903205040246,0,77,479839,5
A,BACKUP,20211220,2.8119115687859115,0,77,479839,5
A,BACKUP,20220101,2.5769660567469117,0,77,479839,5
A,BACKUP,20220111,2.1612826885830625,0,77,479839,5
A,BACKUP,20220112,-1.235285003907752,0,77,479839,5
A,BACKUP,20220113,-0.6969575156965112,0,77,479839,5
A,BACKUP,20220114,1.8668569264260344,0,77,479839,5
A,BACKUP,20220122,3.6233854445927394,0,77,479839,5
A,BACKUP,20220123,0.9277595563701279,0,77,479839,5
A,BACKUP,20220126,-5.9920395840674106,0,77,479839,5
A,BACKUP,20220127,0.4692861211205748,0,77,479839,5
A,BACKUP,20220129,0.8062321698779574,0,77,479839,5
A,BACKUP,20220131,0.46347301830914245,0,77,479839,5
A,BACKUP,20220203,1.3834632420343653,0,77,479839,5
A,BACKUP,20220205,-4.406363561595985,0,77,479839,5
A,BACKUP,20220206,0.9089077442566943,0,77,479839,5
A,BACKUP,20220207,-3.6325308374466814,0,77,479839,5
A,BACKUP,20220210,0.6090412477039341,0,77,479839,5
A,BACKUP,20220216,0.9050512460568337,0,77,479839,5
A,BACKUP,20220217,1.1672902471889413,0,77,479839,5
A,BACKUP,20220221,-3.4885607537553946,0,77,479839,5
A,BACKUP,20220227,1.852052164056595,0,77,479839,5
A,BACKUP,20220302,-0.4550105630682402,0,77,479839,5
A,BACKUP,20220303,-1.8794706072162035,0,77,479839,5
A,BACKUP,20220305,-5.072995719015254,0,77,479839,5
A,BACKUP,20220310,2.1321190391682587,0,77,479839,5
A,BACKUP,20220312,1.206280486828585,0,77,479839,5
A,BACKUP,20220313,0.21654024038945302,0,77,479839,5
A,BACKUP,20220315,-2.204914409907267,0,77,479839,5
A,BACKUP,20220316,-0.671229387925936,0,77,479839,5
A,BACKUP,20220318,-1.1974337674805655,0,77,479839,5
