FOLD,PROGRAM_PAIR,N_HOLDOUT_PAIRS,RAW_WIDTH_BEFORE_KMS,RAW_WIDTH_AFTER_KMS,WIDTH_BEFORE_Z,WIDTH_AFTER_Z,TAIL_GT_3_BEFORE,TAIL_GT_3_AFTER,TAIL_GT_5_BEFORE,TAIL_GT_5_AFTER,GAUSSIAN_PAIR_LOSS_BEFORE,GAUSSIAN_PAIR_LOSS_AFTER,TRAIN_PAIR_FLOOR_KMS
0,BACKUP / BACKUP,198365,3.6658024952650226,2.956957187656556,1.0810512066516527,0.8759415628719692,0.06694729412950873,0.048330098555692785,0.026678093413656644,0.022584629344894514,4.585349011596683,4.2639207206022975,2.779092223031867
0,BACKUP / BRIGHT,44157,3.720044186105287,3.620891161351926,0.9446849180165799,0.9186522356935655,0.031003011979980524,0.030414203863487102,0.015150485766696108,0.01521842516475304,3.8725347900637908,3.8525611320361004,2.9690691408668872
0,BACKUP / DARK,5512,5.629072881182973,5.648533592572596,0.9798989349057556,0.9638976303506885,0.02830188679245283,0.028664731494920173,0.01288098693759071,0.013606676342525399,3.7672041936889933,3.738231937743287,3.742851990765159
0,BRIGHT / BRIGHT,50099,2.887586664474603,2.785163462525499,0.8908229301335945,0.8520898106513313,0.030339926944649594,0.029341903031996647,0.016726880776063394,0.016826683167328688,4.42906993675252,4.401349897380108,2.0463291809317887
0,BRIGHT / DARK,23634,4.393051737501699,4.153200452475197,0.9936904480118065,0.9280455809963938,0.035965134975035964,0.034822713040534824,0.016586274012016587,0.01667089785901667,3.94250038237558,3.8830171962113265,2.787187979835968
0,DARK / DARK,23132,3.5345000816799272,3.478261804531032,0.9708353418365596,0.951677260695261,0.03432474494207159,0.03423828462735604,0.01802697561819125,0.017940515303475704,3.7690040145948154,3.7574798305409116,2.465205485206362
1,BACKUP / BACKUP,199742,3.6911364866826144,2.9529699634830333,1.088845197883358,0.8739520107570976,0.0666059216389142,0.04820718727158034,0.02698981686375424,0.022278739574050525,4.6695121336358465,4.342312533792975,2.7781505762524703
1,BACKUP / BRIGHT,44106,3.7531332612014436,3.628267125843963,0.9570282194842397,0.9212500336723612,0.03063075318550764,0.029655829138892666,0.014669206003718314,0.015054641091914933,3.73757745392956,3.7195459461648723,2.9670207336712333
1,BACKUP / DARK,5834,5.717407845212444,5.556014526659755,0.9866515545168657,0.9445059708968975,0.029310935893040794,0.029653753856702093,0.011827219746314706,0.011655810764484058,3.6961509890087507,3.66418667532858,3.765009134230525
1,BRIGHT / BRIGHT,50110,2.915637193259278,2.7761725329311817,0.8926102305433663,0.8568223472834451,0.029335461983636,0.028417481540610655,0.016683296747156257,0.016543604071043702,4.2680555389904224,4.237663106954939,2.0479726462901033
1,BRIGHT / DARK,23840,4.420933445659237,4.185098878332809,1.000767782781248,0.9418403181383712,0.03343120805369128,0.033011744966442956,0.017911073825503356,0.017701342281879195,4.012963567958971,3.9600133059670215,2.7820301763980275
1,DARK / DARK,23229,3.467305101805856,3.398988679198961,0.9567785872049348,0.9365724355098579,0.03344956735115588,0.033019070988850145,0.017176804855998967,0.017262904128460113,3.7058768532618904,3.6893777709516975,2.4797642351920484
2,BACKUP / BACKUP,198295,3.676745691437202,2.953205320874461,1.0846149257907292,0.8736910382065607,0.06687511031543912,0.048690082957210216,0.026823671802113012,0.022441312186388965,4.606762904577863,4.286547126855086,2.7791997395301853
2,BACKUP / BRIGHT,43822,3.7075656878015453,3.5941102779140692,0.9370696764441971,0.9122983614415016,0.027931176121582767,0.027315047236547853,0.013121263292410205,0.01328100041075259,3.874719992411546,3.8549712979285675,2.974943188651213
2,BACKUP / DARK,5291,5.622336213380375,5.461509021681252,0.9524666159740183,0.9218478082506316,0.023436023436023436,0.022113022113022112,0.009261009261009262,0.009072009072009071,3.518260700650573,3.490180380161048,3.8477694298621126
