FOLD,N_LABELS,N_TRAIN_PAIRS,N_EFFECTIVE_SOURCE_DRAWS,N_CONNECTED_COMPONENTS,LARGEST_COMPONENT_LABEL_FRACTION,LARGEST_COMPONENT_PAIR_FRACTION,LSQR_ISTOP,LSQR_ITERS,LSQR_ACOND,LSQR_R1NORM,LSQR_ARNORM,N_HOLDOUT_PAIRS,N_HOLDOUT_SAME_COMPONENT,N_HOLDOUT_CROSS_COMPONENT,BEFORE_RAW_WIDTH_KMS,AFTER_RAW_WIDTH_KMS,BEFORE_WIDTH_Z,AFTER_WIDTH_Z,BEFORE_TAIL_GT_3,AFTER_TAIL_GT_3,BEFORE_TAIL_GT_5,AFTER_TAIL_GT_5,BEFORE_MEAN_GAUSSIAN_PAIR_LOSS,AFTER_MEAN_GAUSSIAN_PAIR_LOSS,MACRO_WIDTH_BEFORE_Z,MACRO_WIDTH_AFTER_Z,MACRO_GAUSSIAN_PAIR_LOSS_BEFORE,MACRO_GAUSSIAN_PAIR_LOSS_AFTER,PERMUTATION,CONTROL
0,526,1320024,643479.0,1,1.0,1.0,2,136,483.8369381693286,820.051963646002,0.0029622378393541096,348461,347498,963,3.6615207222905823,3.428527936932989,0.9537284166618745,0.8999295310010963,0.04447507611554599,0.038477919297377254,0.018797230487657482,0.01738427271523865,4.141523465014859,4.036631773364427,0.9412253902550202,0.9208806589512615,3.9869173024543687,3.9493260807302253,0,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
1,524,1321759,644004.0,1,1.0,1.0,2,127,431.8086499001491,820.5477469396441,0.0026121480157912397,346290,345161,1129,3.659352879628782,3.4262377954979097,0.9529699504071738,0.8968187774301066,0.044677701130776654,0.03816769565507111,0.01902590385356399,0.017481696947221733,4.13863761291202,4.034230770211192,0.9370206403118608,0.9155246547284718,3.9600567774085778,3.9235035250233232,0,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
2,525,1321734,644557.0,1,1.0,1.0,2,133,463.4636470683392,820.4896631449648,0.0031399814923039372,346600,345535,1065,3.6432767596253317,3.4240952999387346,0.9520361537222897,0.8978928683020873,0.044256008797951,0.038007727147756375,0.018493061484364824,0.01714153414270624,4.092428267782866,3.9905077548049337,0.9304586535962528,0.910693887517986,3.856215431821249,3.821464792291446,0,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
3,525,1319938,644236.0,1,1.0,1.0,2,130,445.9721458577246,820.841819763409,0.003502848851165874,348218,347201,1017,3.658646621455226,3.4228930350891655,0.9534315896532571,0.8947301927691182,0.044778096837278694,0.0381191298412159,0.01878738828517199,0.01738762273150135,4.080029691291355,3.975058865086187,0.9312444777220584,0.9111726436784893,3.8606170990333504,3.8247072631974,0,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
4,524,1320957,644278.0,1,1.0,1.0,2,127,428.91516344835395,821.5289782230437,0.002577440777109511,347113,345976,1137,3.634919320902391,3.4091413168903184,0.9487902575531453,0.8944825109800502,0.044306541494207693,0.03784366545656346,0.01883367632436932,0.017391379748884314,4.083004596457878,3.9786825361268945,0.9291237317074753,0.9107980173651131,3.912877244737776,3.881401092860489,0,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
0,529,1313647,647855.0,1,1.0,1.0,2,139,541.9949508903835,817.1438356845697,0.003841735834915773,348461,347604,857,3.660427864625537,3.4167376553885194,0.957158024179678,0.9043654746351526,0.04474632052565563,0.037206131114716746,0.01893246337786677,0.017704054038503586,4.15120109235889,4.034840558191322,0.9432180526955275,0.9233200392837396,3.9801670201159642,3.9383136990567507,1,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
1,529,1315537,648369.0,1,1.0,1.0,2,138,534.6135000187074,817.1959774456412,0.0037781985262078906,346290,345431,859,3.659509956766903,3.4118941478078533,0.9563871279647097,0.9011700746171996,0.044969907159461656,0.036939359814261025,0.01920788811658479,0.017841479195555697,4.151185778148802,4.035300580745904,0.9387222818984515,0.916134870478727,3.962953837093469,3.9218815097268807,1,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
2,529,1315246,648925.0,1,1.0,1.0,2,144,568.0148095677993,817.9370341111564,0.0038759044523371507,346600,345791,809,3.643880540629998,3.411689765331219,0.9546482392216109,0.9011846945896772,0.044437246776231884,0.036964524814121824,0.018560344254188222,0.017218493251704065,4.099978315450026,3.9871479063358857,0.9312420706462664,0.9130140552190182,3.859493314321789,3.8202780511934837,1,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
3,529,1313772,648528.0,1,1.0,1.0,2,138,523.9130009999371,817.8478344824287,0.003805029721150492,348218,347437,781,3.658555525759488,3.412990433026507,0.9572470778631028,0.8989027789274258,0.045044137498309045,0.03684984615915979,0.01894731994577434,0.01768090330045447,4.090624383788183,3.9736828028334568,0.9345068259605741,0.9136429783608223,3.8701547568642662,3.8309962564180045,1,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
4,528,1314556,648636.0,1,1.0,1.0,2,138,530.1693763947592,818.6652100457061,0.0034380507206887554,347113,346271,842,3.634308158086238,3.3929479339561555,0.951603272424353,0.8966876075922559,0.04445073367391436,0.0365003133383968,0.018924484002414293,0.01762203591984313,4.087656224134518,3.970654708853822,0.9302211332318269,0.9077754216906274,3.907501583478799,3.869267568040972,1,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
0,531,1320589,645842.0,1,1.0,1.0,2,142,532.1866892695389,833.7044334239653,0.003732672610541828,348461,347543,918,3.6606685079294006,3.5102982406127463,0.9362121594772882,0.9018973517389224,0.04247819694253661,0.038579398808205025,0.017902820658163163,0.01697056191607945,4.077784527543968,4.012491800077266,0.9370799008248234,0.920202725013099,3.9701212023237815,3.943316694767199,2,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
1,531,1322591,646431.0,1,1.0,1.0,2,136,493.4572478239282,834.0974463612852,0.003537037102753597,346290,345415,875,3.6597738471631756,3.5048925894298932,0.9346583120359653,0.899381847639871,0.04258934904390371,0.03852177815091991,0.018039170273439195,0.017269082118610946,4.075335346447273,4.011648808844512,0.9327732700680963,0.9173508803212318,3.9458161064065305,3.920476897603944,2,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
2,531,1322203,646904.0,1,1.0,1.0,2,132,472.8063201706402,834.1497624307699,0.0035031892195616955,346600,345739,861,3.6445545177830834,3.5111050852784302,0.9344143236420925,0.9029286006611932,0.042445312793754825,0.03826585950673774,0.017533457318960256,0.016735167279363913,4.028444299734425,3.96567534811871,0.9254452791932851,0.912991929839468,3.839543180823272,3.8161756894178005,2,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
3,530,1320657,646578.0,1,1.0,1.0,2,123,417.66188831558105,834.2278318881125,0.0032446552242505044,348218,347334,884,3.659047178517742,3.5122605946631804,0.9361654380292148,0.902074355537122,0.042584371239210675,0.038378045339644264,0.017858890865852465,0.01695774096402886,4.018282632491714,3.9545075128765483,0.9272335199886168,0.9118805830932358,3.850818727831026,3.8257722467144757,2,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
4,529,1321478,646641.0,1,1.0,1.0,2,131,468.43114087308015,834.4809960889486,0.0030334718875990267,347113,346091,1022,3.6331339998966308,3.4951980445914894,0.9311997037656392,0.8985502957099565,0.042277898009483054,0.03816048380339275,0.017949036525075776,0.01704176069299693,4.02033938479703,3.959590607499811,0.9239906777425326,0.9091860407662057,3.8940475371563306,3.871031225485028,2,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
0,538,1319151,646695.0,1,1.0,1.0,2,139,517.7163110066215,845.9202673295251,0.0036457550381949807,348461,347720,741,3.661418789366628,3.5125681970321785,0.9345524116812371,0.8997498010420666,0.04237892557229955,0.03828080064419648,0.01786494880938686,0.01689002645806971,4.073073165502295,4.006347754105697,0.9353824683607078,0.9207940542431278,3.966279788582853,3.939331553092336,3,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
1,538,1321276,647346.0,1,1.0,1.0,2,133,488.4867386365422,845.9599621286035,0.003401117986236437,346290,345519,771,3.6597822786750913,3.5168544584533206,0.9333058196276668,0.8994460548546643,0.0424260315641108,0.038327848830310346,0.01799322179098689,0.017289931957432152,4.068672811461731,4.003205906379768,0.9312460751406694,0.919335317812334,3.9395932107361524,3.915247901667531,3,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
2,537,1320641,647622.0,1,1.0,1.0,2,140,527.8229645046226,846.0269838511473,0.0035900681506590656,346600,345721,879,3.6436212298788457,3.515569766080019,0.9318993450991748,0.9006089506234236,0.04222479976628553,0.037972816230428585,0.017421562473786668,0.016571165766615277,4.0196891430470405,3.954715931224598,0.9238081450016457,0.9122026139944556,3.834106185165185,3.810741044250975,3,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
3,537,1319020,647346.0,1,1.0,1.0,2,131,477.9186863921733,845.9477887249117,0.002985768984882735,348218,347426,792,3.6596165325535437,3.518638377822956,0.9351211414107117,0.9007145556290634,0.04248098875731811,0.038010972120681816,0.017810987087897856,0.016892805950044037,4.013533192958448,3.945522728556387,0.9264292178500729,0.9123613067010101,3.847196093247691,3.822448346823928,3,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
4,538,1320263,647575.0,1,1.0,1.0,2,131,478.4342923500556,846.7328982716567,0.003683621971129967,347113,346342,771,3.6345227296126854,3.4897469014575044,0.9292031700524421,0.895287975834679,0.042091343238764,0.037922053923578426,0.01785518360464512,0.016948565290955182,4.013826136074734,3.9474528478303204,0.9233408185644416,0.9091749655132775,3.8939744450584772,3.8696836211945516,3,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
0,527,1316030,646951.0,1,1.0,1.0,2,152,619.7829222788131,831.5121689214164,0.002966079096013188,348461,347500,961,3.660682586957361,3.4753725574831464,0.9400420460001476,0.9005500674583402,0.04305611510791367,0.0364863309352518,0.018152517985611513,0.0167136690647482,4.0960363789183365,3.9957897619531564,0.9349608431260944,0.9217400493157784,3.9709338771665386,3.937534994093385,4,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
1,525,1317695,647553.0,1,1.0,1.0,2,118,398.07629407440623,831.7959355753942,0.003633254390736994,346290,345133,1157,3.660741252839185,3.482102491907721,0.9395235168224554,0.9006477966468194,0.04337748056546317,0.036322229401419166,0.01841319143634483,0.016918115624990945,4.092752634880374,3.995501399448493,0.9307774886548219,0.9189810434018165,3.939326825448346,3.9075647945969862,4,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
